,titleId,start_year,genres,ordering,title,region,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross,worldwide_gross
0,tt0069049,2018.0,Drama,3.0,The Other Side of the Wind,US,"[35, 18]",299782,9.8,2018-11-02,7.0,64,,,,,
1,tt0112502,2017.0,"Horror,Thriller",3.0,Bigfoot,US,"[27, 878, 12]",117856,2.813,2012-06-30,2.9,26,,,,,
2,tt4503112,2018.0,"Action,Horror",3.0,Bigfoot,US,"[27, 878, 12]",117856,2.813,2012-06-30,2.9,26,,,,,
3,tt9181914,2018.0,"Animation,Family",5.0,Bigfoot,US,"[27, 878, 12]",117856,2.813,2012-06-30,2.9,26,,,,,
4,tt0192528,2018.0,Drama,1.0,Heaven & Hell,US,[18],567662,0.6,2018-11-06,7.5,2,,,,,
5,tt0249516,2012.0,"Action,Animation,Comedy",2.0,Foodfight!,US,"[16, 28, 35, 10751]",116977,4.705,2013-05-07,2.1,46,26.0,"Dec 31, 2012","$45,000,000",$0,"$73,706"
6,tt0255820,2013.0,"Biography,Comedy,Drama",1.0,Return to Babylon,US,"[35, 18]",323498,0.877,2013-08-11,7.0,1,,,,,
7,tt0285252,2012.0,Comedy,9.0,Life's a Beach,US,[35],112074,1.206,2010-01-01,3.2,3,,,,,
8,tt0293069,2012.0,Thriller,9.0,Dark Blood,US,[53],136884,1.721,2013-03-06,6.1,7,,,,,
9,tt0297400,2015.0,"Crime,Drama",1.0,Snowblind,US,[37],49594,1.463,2010-11-11,4.3,7,,,,,
10,tt0312305,2010.0,"Adventure,Animation,Sci-Fi",2.0,Quantum Quest: A Cassini Space Odyssey,US,[10751],23738,1.207,2012-12-02,0.5,1,,,,,
11,tt0323808,2011.0,"Drama,Horror",5.0,The Wicker Tree,US,"[9648, 27, 53]",79544,2.962,2012-01-27,4.4,25,,,,,
12,tt0326592,2010.0,no genre,3.0,Do Not Disturb,US,"[35, 27]",230997,0.624,2010-01-01,2.0,1,,,,,
13,tt10188032,2018.0,Comedy,1.0,Do Not Disturb,US,"[35, 27]",230997,0.624,2010-01-01,2.0,1,,,,,
14,tt1325773,2010.0,"Crime,Horror,Thriller",4.0,Do Not Disturb,US,"[35, 27]",230997,0.624,2010-01-01,2.0,1,,,,,
15,tt1558249,2011.0,Comedy,6.0,Do Not Disturb,US,"[35, 27]",230997,0.624,2010-01-01,2.0,1,,,,,
16,tt4107672,2014.0,Horror,1.0,Do Not Disturb,US,"[35, 27]",230997,0.624,2010-01-01,2.0,1,,,,,
17,tt0326592,2010.0,no genre,3.0,Do Not Disturb,US,"[27, 53]",213711,1.337,2013-08-06,4.9,8,,,,,
18,tt10188032,2018.0,Comedy,1.0,Do Not Disturb,US,"[27, 53]",213711,1.337,2013-08-06,4.9,8,,,,,
19,tt1325773,2010.0,"Crime,Horror,Thriller",4.0,Do Not Disturb,US,"[27, 53]",213711,1.337,2013-08-06,4.9,8,,,,,
20,tt1558249,2011.0,Comedy,6.0,Do Not Disturb,US,"[27, 53]",213711,1.337,2013-08-06,4.9,8,,,,,
21,tt4107672,2014.0,Horror,1.0,Do Not Disturb,US,"[27, 53]",213711,1.337,2013-08-06,4.9,8,,,,,
22,tt0326592,2010.0,no genre,4.0,The Overnight,US,"[9648, 35]",308024,6.5760000000000005,2015-06-19,6.0,200,21.0,"Jun 19, 2015","$200,000","$1,109,808","$1,165,996"
23,tt3844362,2015.0,"Comedy,Mystery",11.0,The Overnight,US,"[9648, 35]",308024,6.5760000000000005,2015-06-19,6.0,200,21.0,"Jun 19, 2015","$200,000","$1,109,808","$1,165,996"
24,tt0326965,2010.0,"Drama,Mystery,Thriller",7.0,In My Sleep,US,"[53, 9648]",40048,1.795,2010-04-23,5.4,20,,,,,
25,tt0331314,2017.0,"Adventure,Animation,Comedy",5.0,Bunyan and Babe,US,"[12, 16, 35, 10751, 14]",435995,2.051,2017-01-12,6.2,9,,,,,
26,tt0337692,2012.0,"Adventure,Drama,Romance",34.0,On the Road,US,"[12, 18]",83770,8.919,2012-12-21,5.6,518,17.0,"Mar 22, 2013","$25,000,000","$720,828","$9,313,302"
27,tt0339736,2017.0,Horror,2.0,Whiplash,US,"[18, 10402]",367412,6.297999999999999,2013-01-18,7.9,94,43.0,"Oct 10, 2014","$3,300,000","$13,092,006","$38,969,037"
